                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3265,                 1.2115,                 1.1245,                0.81245,                0.88474,                0.77431,                0.46921,                 1.3329,                0.92283,                 1.1406,             0.00066629,             0.00066629,             0.00066629
                      1,                  1.316,                0.86718,                 1.1458,                0.82278,                0.87517,                0.80996,                0.51697,                 1.2575,                0.89275,                 1.1396,              0.0013066,              0.0013066,              0.0013066
                      2,                 1.3025,                 0.8019,                 1.1514,                0.88717,                0.86332,                0.87642,                0.57432,                  1.239,                0.85114,                 1.1706,              0.0019204,              0.0019204,              0.0019204
                      3,                 1.2752,                0.76652,                 1.1515,                0.82778,                 0.8825,                0.80484,                0.47776,                 1.4146,                0.79418,                 1.2163,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.2485,                0.72428,                 1.1339,                 0.9313,                0.88519,                0.91748,                0.60997,                 1.2287,                0.67109,                 1.1636,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2336,                0.69798,                 1.1285,                0.93013,                0.89522,                0.89936,                0.59164,                 1.2112,                 0.6772,                 1.1584,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2307,                0.67993,                 1.1262,                0.95723,                0.88929,                0.93331,                0.62944,                 1.2083,                0.62866,                 1.1672,               0.001802,               0.001802,               0.001802
                      7,                 1.2033,                0.65405,                 1.1227,                0.94813,                0.90023,                0.92536,                 0.6192,                 1.2132,                0.59233,                  1.165,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2044,                0.64363,                 1.1139,                0.96424,                0.90114,                 0.9452,                0.65104,                 1.1796,                0.58032,                 1.1511,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1889,                 0.6298,                 1.1143,                 0.9637,                0.90524,                0.93839,                0.63356,                 1.1752,                0.59266,                 1.1348,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1893,                0.61801,                 1.1071,                 0.9626,                0.91449,                0.94118,                0.63025,                 1.1879,                0.58302,                 1.1433,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1722,                0.60417,                 1.1144,                0.97477,                0.90524,                0.94917,                  0.649,                 1.1584,                0.53617,                 1.1399,               0.001604,               0.001604,               0.001604
                     12,                 1.1754,                0.60042,                 1.1076,                0.97336,                0.90569,                0.95008,                0.65245,                 1.1643,                0.55377,                 1.1366,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1594,                0.58797,                 1.0959,                0.96971,                0.91207,                0.94455,                0.64713,                 1.1452,                0.54879,                 1.1407,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1629,                0.59331,                 1.1047,                0.96514,                0.90818,                 0.9477,                0.65473,                  1.141,                0.54307,                 1.1173,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.157,                0.58126,                 1.0936,                0.97907,                0.90979,                0.94924,                0.65754,                 1.1476,                0.52967,                 1.1201,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1504,                0.57097,                 1.0876,                0.97191,                0.91754,                0.95717,                0.66643,                 1.1429,                0.51994,                 1.1173,               0.001406,               0.001406,               0.001406
                     17,                 1.1402,                0.56433,                 1.0885,                0.97987,                0.90888,                0.95417,                0.66017,                 1.1411,                0.51846,                 1.1398,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1344,                0.55458,                 1.0923,                0.97982,                0.90888,                0.95792,                 0.6735,                 1.1269,                0.51431,                 1.1215,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1267,                0.56083,                  1.088,                0.98073,                0.91663,                0.95824,                0.67344,                 1.1213,                0.50783,                 1.1161,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1326,                0.54759,                 1.0871,                0.98624,                0.91438,                0.95854,                0.67197,                  1.124,                0.48821,                 1.1264,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1257,                0.54579,                 1.0827,                0.97135,                0.92437,                0.96141,                0.67555,                 1.1237,                0.49371,                 1.1174,               0.001208,               0.001208,               0.001208
                     22,                  1.124,                0.54852,                 1.0877,                0.97303,                0.92073,                 0.9539,                0.66715,                 1.1265,                 0.4913,                 1.1225,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1146,                0.53579,                 1.0813,                0.97605,                0.92118,                0.95841,                0.67114,                 1.1201,                0.48391,                 1.1253,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1057,                0.52971,                 1.0768,                0.97819,                0.92118,                0.95883,                0.67104,                 1.1216,                0.48657,                 1.1135,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0998,                0.52128,                 1.0698,                0.97323,                0.92768,                0.95877,                0.67588,                 1.1261,                0.47062,                 1.1154,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1009,                 0.5208,                 1.0778,                0.98115,                0.92488,                   0.96,                0.67552,                 1.1129,                0.47794,                  1.113,                0.00101,                0.00101,                0.00101
                     27,                  1.092,                0.51399,                 1.0702,                0.98076,                0.92756,                0.95875,                0.67387,                 1.1036,                0.46832,                 1.1085,              0.0009704,              0.0009704,              0.0009704
                     28,                  1.084,                0.51059,                 1.0599,                 0.9716,                0.93212,                0.95984,                0.67318,                  1.112,                0.46115,                  1.115,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.0878,                0.50644,                 1.0723,                0.97938,                0.93068,                 0.9618,                0.67813,                 1.1025,                0.46179,                 1.1111,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0894,                 0.5034,                 1.0688,                0.98016,                0.92528,                0.96231,                0.67744,                  1.106,                0.46048,                 1.1137,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0832,                0.49758,                 1.0663,                0.97984,                0.92994,                0.96397,                0.68139,                 1.0978,                0.45409,                 1.1069,               0.000812,               0.000812,               0.000812
                     32,                 1.0732,                0.49242,                 1.0615,                0.97639,                0.93257,                0.96329,                0.68229,                 1.1018,                0.44976,                  1.115,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0733,                0.49367,                 1.0659,                0.98412,                0.93189,                0.96456,                0.68596,                 1.0925,                0.44733,                 1.1098,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0682,                0.48495,                 1.0608,                 0.9746,                0.93485,                0.96467,                0.68745,                 1.0946,                0.43965,                 1.1129,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0626,                 0.4823,                 1.0565,                0.98593,                0.92591,                0.96443,                0.68605,                   1.09,                0.44553,                 1.1031,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0623,                0.48014,                 1.0592,                0.97401,                0.93886,                0.96455,                0.68638,                 1.0957,                0.43677,                 1.1072,               0.000614,               0.000614,               0.000614
                     37,                 1.0495,                0.47443,                 1.0547,                0.97308,                0.93856,                0.96624,                0.68839,                 1.0918,                0.43509,                 1.1026,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0551,                0.47256,                 1.0539,                0.98364,                0.93135,                0.96568,                0.68598,                 1.0973,                0.44146,                 1.1094,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0476,                0.47235,                 1.0504,                0.98268,                0.93053,                0.96279,                0.68829,                 1.0881,                0.43419,                 1.1081,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0438,                0.46479,                 1.0507,                0.97489,                0.93727,                0.96513,                0.69168,                 1.0832,                0.42696,                 1.1052,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0386,                0.46152,                 1.0532,                0.98091,                0.93637,                0.96466,                0.68836,                  1.084,                0.42761,                 1.1093,               0.000416,               0.000416,               0.000416
                     42,                  1.038,                0.45555,                 1.0482,                 0.9856,                0.93569,                0.96626,                0.69202,                 1.0821,                0.42536,                  1.098,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0243,                0.45352,                  1.044,                0.98796,                0.93468,                0.96791,                0.69668,                 1.0772,                0.41917,                 1.0943,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0273,                0.44937,                 1.0396,                0.98754,                0.93877,                0.96897,                0.69712,                 1.0796,                0.41725,                 1.1013,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0166,                0.44266,                  1.037,                0.98929,                0.93303,                0.96962,                0.69423,                 1.0846,                0.41702,                 1.1043,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0183,                0.44056,                 1.0435,                0.98055,                0.93941,                0.96777,                0.69246,                 1.0788,                0.41379,                 1.0988,               0.000218,               0.000218,               0.000218
                     47,                  1.012,                0.43908,                   1.04,                0.98656,                0.93643,                0.96885,                0.69885,                 1.0775,                0.41417,                 1.0926,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0114,                0.43546,                 1.0373,                0.98567,                0.94015,                0.96839,                0.69746,                 1.0737,                0.41287,                 1.0953,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0042,                0.43178,                 1.0365,                0.98707,                0.93886,                0.96829,                0.69576,                 1.0729,                 0.4117,                 1.0966,               9.92e-05,               9.92e-05,               9.92e-05
